DataSet,DataType,Compressor,Encoding,Insert Time,Select Time
ingestion\DOUBLE,DOUBLE,SNAPPY,RAKE,0.10150334835052491,0.0587500810623169
ingestion\DOUBLE,DOUBLE,SNAPPY,RLE,0.05614848136901855,0.0554518461227417
ingestion\DOUBLE,DOUBLE,SNAPPY,TS_2DIFF,0.04602715969085693,0.05310177803039551
ingestion\DOUBLE,DOUBLE,SNAPPY,GORILLA,0.051819801330566406,0.06955642700195312
ingestion\DOUBLE,DOUBLE,SNAPPY,PLAIN,0.05140836238861084,0.06910200119018554
ingestion\DOUBLE,DOUBLE,SNAPPY,SPRINTZ,0.04646110534667969,0.07448537349700927
ingestion\DOUBLE,DOUBLE,SNAPPY,RLBE,0.04361345767974854,0.08688669204711914
ingestion\DOUBLE,DOUBLE,GZIP,RAKE,0.04215872287750244,0.09050397872924805
ingestion\DOUBLE,DOUBLE,GZIP,RLE,0.04090564250946045,0.11092557907104492
ingestion\DOUBLE,DOUBLE,GZIP,TS_2DIFF,0.04529602527618408,0.1233677864074707
ingestion\DOUBLE,DOUBLE,GZIP,GORILLA,0.04105334281921387,0.049802613258361814
ingestion\DOUBLE,DOUBLE,GZIP,PLAIN,0.04160029888153076,0.056660127639770505
ingestion\DOUBLE,DOUBLE,GZIP,SPRINTZ,0.04311065673828125,0.0690420389175415
ingestion\DOUBLE,DOUBLE,GZIP,RLBE,0.04121198654174805,0.07480006217956543
ingestion\DOUBLE,DOUBLE,UNCOMPRESSED,RAKE,0.042221879959106444,0.08650133609771729
ingestion\DOUBLE,DOUBLE,UNCOMPRESSED,RLE,0.04339730739593506,0.11300313472747803
ingestion\DOUBLE,DOUBLE,UNCOMPRESSED,TS_2DIFF,0.04040260314941406,0.10973420143127441
ingestion\DOUBLE,DOUBLE,UNCOMPRESSED,GORILLA,0.04450395107269287,0.12397363185882568
ingestion\DOUBLE,DOUBLE,UNCOMPRESSED,PLAIN,0.043100619316101076,0.16012246608734132
ingestion\DOUBLE,DOUBLE,UNCOMPRESSED,SPRINTZ,0.04170451164245605,0.18057680130004883
ingestion\DOUBLE,DOUBLE,UNCOMPRESSED,RLBE,0.04389998912811279,0.22781529426574706
ingestion\DOUBLE,DOUBLE,LZ4,RAKE,0.04150159358978271,0.2710235595703125
ingestion\DOUBLE,DOUBLE,LZ4,RLE,0.04350526332855224,0.3416512727737427
ingestion\DOUBLE,DOUBLE,LZ4,TS_2DIFF,0.043448805809020996,0.4036830186843872
ingestion\DOUBLE,DOUBLE,LZ4,GORILLA,0.04369587898254394,0.4174952030181885
ingestion\DOUBLE,DOUBLE,LZ4,PLAIN,0.04395725727081299,0.4661252021789551
ingestion\DOUBLE,DOUBLE,LZ4,SPRINTZ,0.04250497817993164,0.02080545425415039
ingestion\DOUBLE,DOUBLE,LZ4,RLBE,0.04110021591186523,0.026658272743225096
